年份,月份,日期,市場,品名,平均價格(元/公斤),交易量(公斤)
2023,3,2023-03-01,台北二,西瓜,10.4,3974
2023,3,2023-03-01,台中,西瓜,10.6,2207
2023,3,2023-03-01,高雄,西瓜,9.4,2233
2023,3,2023-03-01,台北一,柳橙,24.7,702
2023,3,2023-03-01,台北二,柳橙,23.4,4996
2023,3,2023-03-01,台中,柳橙,23.0,2827
2023,3,2023-03-01,高雄,柳橙,20.8,697
2023,3,2023-03-01,台北一,木瓜,38.9,1108
2023,3,2023-03-01,台北二,木瓜,35.0,4782
2023,3,2023-03-01,台中,木瓜,33.2,2294
2023,3,2023-03-01,高雄,木瓜,32.7,1869
2023,3,2023-03-01,台北一,鳳梨,15.3,7911
2023,3,2023-03-01,台北二,鳳梨,14.7,13680
2023,3,2023-03-01,台中,鳳梨,15.3,10759
2023,3,2023-03-01,高雄,鳳梨,13.9,16111
2023,4,2023-04-01,台北一,香蕉,12.3,11616
2023,4,2023-04-01,台北二,香蕉,11.8,10534
2023,4,2023-04-01,台中,香蕉,12.3,18922
2023,4,2023-04-01,高雄,香蕉,10.4,11287
2023,4,2023-04-01,台北一,芒果,55.9,4143
2023,4,2023-04-01,台北二,芒果,50.6,4223
2023,4,2023-04-01,台中,芒果,51.9,4590
2023,4,2023-04-01,高雄,芒果,43.6,3670
2023,4,2023-04-01,台北一,荔枝,106.9,4999
2023,4,2023-04-01,台北二,荔枝,106.2,3691
2023,4,2023-04-01,台中,荔枝,100.3,2148
2023,4,2023-04-01,高雄,荔枝,73.6,1945
2023,4,2023-04-01,台北一,西瓜,12.1,3683
2023,4,2023-04-01,台北二,西瓜,10.9,598
2023,4,2023-04-01,台中,西瓜,12.0,3461
2023,4,2023-04-01,高雄,西瓜,9.7,4933
2023,4,2023-04-01,台北一,柳橙,25.2,1456
2023,4,2023-04-01,台北二,柳橙,24.1,660
2023,4,2023-04-01,台中,柳橙,22.1,4993
2023,4,2023-04-01,高雄,柳橙,21.4,4487
2023,4,2023-04-01,台北一,木瓜,38.2,1718
2023,4,2023-04-01,台北二,木瓜,37.1,3604
2023,4,2023-04-01,台中,木瓜,34.5,1454
2023,4,2023-04-01,高雄,木瓜,31.4,3946
2023,4,2023-04-01,台北一,鳳梨,14.8,19565
2023,4,2023-04-01,台北二,鳳梨,14.1,15677
2023,4,2023-04-01,台中,鳳梨,14.4,19362
2023,4,2023-04-01,高雄,鳳梨,13.2,9893
2023,5,2023-05-01,台北一,香蕉,15.5,10600
2023,5,2023-05-01,台北二,香蕉,14.1,12996
2023,5,2023-05-01,台中,香蕉,14.0,12683
2023,5,2023-05-01,高雄,香蕉,12.1,16312
2023,5,2023-05-01,台北一,芒果,53.8,2705
2023,5,2023-05-01,台北二,芒果,52.3,3944
2023,5,2023-05-01,台中,芒果,48.6,1560
2023,5,2023-05-01,高雄,芒果,45.7,801
2023,5,2023-05-01,台北一,荔枝,116.0,1639
2023,5,2023-05-01,台北二,荔枝,92.1,1480
2023,5,2023-05-01,台中,荔枝,83.8,1684
2023,5,2023-05-01,高雄,荔枝,81.6,627
2023,5,2023-05-01,台北一,西瓜,7.5,11709
2023,5,2023-05-01,台北二,西瓜,7.8,6895
2023,5,2023-05-01,台中,西瓜,6.5,17913
2023,5,2023-05-01,高雄,西瓜,6.7,16093
2023,5,2023-05-01,台北一,柳橙,24.0,3037
2023,5,2023-05-01,台北二,柳橙,25.4,1284
2023,5,2023-05-01,台中,柳橙,23.9,4841
2023,5,2023-05-01,高雄,柳橙,21.0,3306
2023,5,2023-05-01,台北一,木瓜,27.5,2955
2023,5,2023-05-01,台北二,木瓜,29.4,3450
2023,5,2023-05-01,台中,木瓜,26.4,4615
2023,5,2023-05-01,高雄,木瓜,25.0,4995
2023,5,2023-05-01,台北一,鳳梨,14.4,14358
2023,5,2023-05-01,台北二,鳳梨,13.0,18121
2023,5,2023-05-01,台中,鳳梨,12.4,15174
2023,5,2023-05-01,高雄,鳳梨,10.7,16928
2023,6,2023-06-01,台北一,香蕉,26.8,2215
2023,6,2023-06-01,台北二,香蕉,22.8,4354
2023,6,2023-06-01,台中,香蕉,22.7,2991
2023,6,2023-06-01,高雄,香蕉,21.0,3624
2023,6,2023-06-01,台北一,芒果,37.2,10222
2023,6,2023-06-01,台北二,芒果,28.8,5876
2023,6,2023-06-01,台中,芒果,28.1,9142
2023,6,2023-06-01,高雄,芒果,30.1,12079
2023,6,2023-06-01,台北一,荔枝,79.6,5635
2023,6,2023-06-01,台北二,荔枝,72.3,14874
2023,6,2023-06-01,台中,荔枝,70.0,5830
2023,6,2023-06-01,高雄,荔枝,58.1,10177
2023,6,2023-06-01,台北一,西瓜,6.2,13308
2023,6,2023-06-01,台北二,西瓜,6.2,6150
2023,6,2023-06-01,台中,西瓜,6.5,14204
2023,6,2023-06-01,高雄,西瓜,5.4,17921
2023,6,2023-06-01,台北一,柳橙,29.6,1059
2023,6,2023-06-01,台北二,柳橙,28.9,3843
2023,6,2023-06-01,台中,柳橙,28.4,1970
2023,6,2023-06-01,高雄,柳橙,26.2,2794
2023,6,2023-06-01,台北一,木瓜,26.6,4006
2023,6,2023-06-01,台北二,木瓜,26.8,3244
2023,6,2023-06-01,台中,木瓜,24.0,1743
2023,6,2023-06-01,高雄,木瓜,21.4,2641
2023,6,2023-06-01,台北一,鳳梨,18.5,18515
2023,6,2023-06-01,台北二,鳳梨,16.2,11617
2023,6,2023-06-01,台中,鳳梨,16.6,17838
2023,6,2023-06-01,高雄,鳳梨,15.1,12421
2023,7,2023-07-01,台北一,香蕉,26.8,3349
2023,7,2023-07-01,台北二,香蕉,25.7,4230
2023,7,2023-07-01,台中,香蕉,25.2,3316
2023,7,2023-07-01,高雄,香蕉,23.6,3587
2023,7,2023-07-01,台北一,芒果,31.7,17784
2023,7,2023-07-01,台北二,芒果,33.0,11303
2023,7,2023-07-01,台中,芒果,31.7,6687
2023,7,2023-07-01,高雄,芒果,27.7,16938
2023,7,2023-07-01,台北一,荔枝,66.0,7738
2023,7,2023-07-01,台北二,荔枝,72.7,10387
2023,7,2023-07-01,台中,荔枝,59.7,10536
2023,7,2023-07-01,高雄,荔枝,60.7,6066
2023,7,2023-07-01,台北一,西瓜,6.6,10726
2023,7,2023-07-01,台北二,西瓜,6.9,15738
2023,7,2023-07-01,台中,西瓜,6.8,15966
2023,7,2023-07-01,高雄,西瓜,5.7,13967
2023,7,2023-07-01,台北一,柳橙,33.5,3569
2023,7,2023-07-01,台北二,柳橙,33.4,1116
2023,7,2023-07-01,台中,柳橙,30.4,1325
2023,7,2023-07-01,高雄,柳橙,29.0,2016
2023,7,2023-07-01,台北一,木瓜,29.4,1228
2023,7,2023-07-01,台北二,木瓜,31.9,3308
2023,7,2023-07-01,台中,木瓜,29.2,3004
2023,7,2023-07-01,高雄,木瓜,27.3,3286
2023,7,2023-07-01,台北一,鳳梨,24.9,2643
2023,7,2023-07-01,台北二,鳳梨,24.1,4632
2023,7,2023-07-01,台中,鳳梨,22.4,4266
2023,7,2023-07-01,高雄,鳳梨,22.7,3414
2023,8,2023-08-01,台北一,香蕉,26.1,1095
2023,8,2023-08-01,台北二,香蕉,25.3,1865
2023,8,2023-08-01,台中,香蕉,22.1,895
2023,8,2023-08-01,高雄,香蕉,22.7,4671
2023,8,2023-08-01,台北一,芒果,38.3,7782
2023,8,2023-08-01,台北二,芒果,37.5,9946
2023,8,2023-08-01,台中,芒果,31.6,13335
2023,8,2023-08-01,高雄,芒果,29.0,12266
2023,8,2023-08-01,台北一,荔枝,95.9,4136
2023,8,2023-08-01,台北二,荔枝,101.4,3116
2023,8,2023-08-01,台中,荔枝,76.2,3482
2023,8,2023-08-01,高雄,荔枝,94.7,1656
2023,8,2023-08-01,台北一,西瓜,8.7,13010
2023,8,2023-08-01,台北二,西瓜,7.9,11731
2023,8,2023-08-01,台中,西瓜,8.3,5953
2023,8,2023-08-01,高雄,西瓜,7.6,16516
2023,8,2023-08-01,台北一,柳橙,36.8,1691
2023,8,2023-08-01,台北二,柳橙,34.6,3493
2023,8,2023-08-01,台中,柳橙,36.1,1717
2023,8,2023-08-01,高雄,柳橙,30.5,3736
2023,8,2023-08-01,台北一,木瓜,18.3,14580
2023,8,2023-08-01,台北二,木瓜,17.5,13691
2023,8,2023-08-01,台中,木瓜,16.2,12494
2023,8,2023-08-01,高雄,木瓜,16.6,14347
2023,8,2023-08-01,台北一,鳳梨,23.2,2310
2023,8,2023-08-01,台北二,鳳梨,23.1,2714
2023,8,2023-08-01,台中,鳳梨,20.5,4102
2023,8,2023-08-01,高雄,鳳梨,18.1,4022
2023,9,2023-09-01,台北一,香蕉,12.9,8709
2023,9,2023-09-01,台北二,香蕉,12.0,11619
2023,9,2023-09-01,台中,香蕉,12.7,14086
2023,9,2023-09-01,高雄,香蕉,11.6,8072
2023,9,2023-09-01,台北一,芒果,50.0,1004
2023,9,2023-09-01,台北二,芒果,51.0,3940
2023,9,2023-09-01,台中,芒果,44.2,1428
2023,9,2023-09-01,高雄,芒果,43.0,633
2023,9,2023-09-01,台北一,荔枝,113.1,2352
2023,9,2023-09-01,台北二,荔枝,90.3,4675
2023,9,2023-09-01,台中,荔枝,91.4,4798
2023,9,2023-09-01,高雄,荔枝,96.1,1750
2023,9,2023-09-01,台北一,西瓜,11.1,1756
2023,9,2023-09-01,台北二,西瓜,11.2,3986
2023,9,2023-09-01,台中,西瓜,12.1,4137
2023,9,2023-09-01,高雄,西瓜,10.5,3203
2023,9,2023-09-01,台北一,柳橙,27.9,1853
2023,9,2023-09-01,台北二,柳橙,27.5,857
2023,9,2023-09-01,台中,柳橙,24.5,1167
2023,9,2023-09-01,高雄,柳橙,22.5,1645
2023,9,2023-09-01,台北一,木瓜,17.7,7745
2023,9,2023-09-01,台北二,木瓜,16.8,5539
2023,9,2023-09-01,台中,木瓜,15.6,17328
2023,9,2023-09-01,高雄,木瓜,14.9,11042
2023,9,2023-09-01,台北一,鳳梨,24.1,3008
2023,9,2023-09-01,台北二,鳳梨,24.3,1424
2023,9,2023-09-01,台中,鳳梨,20.9,3824
2023,9,2023-09-01,高雄,鳳梨,22.2,755
2023,10,2023-10-01,台北一,香蕉,15.7,5009
2023,10,2023-10-01,台北二,香蕉,15.4,12409
2023,10,2023-10-01,台中,香蕉,13.8,10124
2023,10,2023-10-01,高雄,香蕉,11.8,15016
2023,10,2023-10-01,台北一,芒果,54.4,4658
2023,10,2023-10-01,台北二,芒果,52.2,4500
2023,10,2023-10-01,台中,芒果,50.3,1010
2023,10,2023-10-01,高雄,芒果,44.4,2500
2023,10,2023-10-01,台北一,荔枝,134.7,1960
2023,10,2023-10-01,台北二,荔枝,125.6,4136
2023,10,2023-10-01,台中,荔枝,132.3,4678
2023,10,2023-10-01,高雄,荔枝,98.5,2548
2023,10,2023-10-01,台北一,西瓜,12.8,2323
2023,10,2023-10-01,台北二,西瓜,11.3,2074
2023,10,2023-10-01,台中,西瓜,12.0,1173
2023,10,2023-10-01,高雄,西瓜,10.8,1270
2023,10,2023-10-01,台北一,柳橙,26.6,1577
2023,10,2023-10-01,台北二,柳橙,26.5,3537
2023,10,2023-10-01,台中,柳橙,24.7,2348
2023,10,2023-10-01,高雄,柳橙,22.3,3314
2023,10,2023-10-01,台北一,木瓜,17.3,11996
2023,10,2023-10-01,台北二,木瓜,16.7,15314
2023,10,2023-10-01,台中,木瓜,14.9,18051
2023,10,2023-10-01,高雄,木瓜,15.3,14521
2023,10,2023-10-01,台北一,鳳梨,31.0,2982
2023,10,2023-10-01,台北二,鳳梨,33.1,1831
2023,10,2023-10-01,台中,鳳梨,29.5,1858
2023,10,2023-10-01,高雄,鳳梨,26.8,3677
2023,11,2023-11-01,台北一,香蕉,23.7,637
2023,11,2023-11-01,台北二,香蕉,23.2,3332
2023,11,2023-11-01,台中,香蕉,19.9,3531
2023,11,2023-11-01,高雄,香蕉,17.9,4800
2023,11,2023-11-01,台北一,芒果,64.9,4542
2023,11,2023-11-01,台北二,芒果,55.2,1260
2023,11,2023-11-01,台中,芒果,58.3,3945
2023,11,2023-11-01,高雄,芒果,57.8,1399
2023,11,2023-11-01,台北一,荔枝,106.3,3766
2023,11,2023-11-01,台北二,荔枝,123.5,1166
2023,11,2023-11-01,台中,荔枝,109.6,2469
2023,11,2023-11-01,高雄,荔枝,100.0,3622
2023,11,2023-11-01,台北一,西瓜,12.6,4400
2023,11,2023-11-01,台北二,西瓜,12.0,1023
2023,11,2023-11-01,台中,西瓜,11.8,3093
2023,11,2023-11-01,高雄,西瓜,10.8,2253
2023,11,2023-11-01,台北一,柳橙,17.7,15488
2023,11,2023-11-01,台北二,柳橙,18.3,15453
2023,11,2023-11-01,台中,柳橙,16.5,11493
2023,11,2023-11-01,高雄,柳橙,15.5,9143
2023,11,2023-11-01,台北一,木瓜,16.4,18568
2023,11,2023-11-01,台北二,木瓜,15.7,19178
2023,11,2023-11-01,台中,木瓜,15.0,15958
2023,11,2023-11-01,高雄,木瓜,14.7,5055
2023,11,2023-11-01,台北一,鳳梨,31.3,2625
2023,11,2023-11-01,台北二,鳳梨,29.9,864
2023,11,2023-11-01,台中,鳳梨,26.3,2146
2023,11,2023-11-01,高雄,鳳梨,28.0,2031
2023,12,2023-12-01,台北一,香蕉,19.1,2406
2023,12,2023-12-01,台北二,香蕉,18.2,2575
2023,12,2023-12-01,台中,香蕉,16.6,2476
2023,12,2023-12-01,高雄,香蕉,17.5,625
2023,12,2023-12-01,台北一,芒果,68.3,3783
2023,12,2023-12-01,台北二,芒果,60.2,566
2023,12,2023-12-01,台中,芒果,59.6,1669
2023,12,2023-12-01,高雄,芒果,47.4,4706
2023,12,2023-12-01,台北一,荔枝,134.0,4507
2023,12,2023-12-01,台北二,荔枝,126.2,2972
2023,12,2023-12-01,台中,荔枝,115.4,3239
2023,12,2023-12-01,高雄,荔枝,119.1,2261
2023,12,2023-12-01,台北一,西瓜,14.3,4312
2023,12,2023-12-01,台北二,西瓜,15.1,1960
2023,12,2023-12-01,台中,西瓜,12.3,2233
2023,12,2023-12-01,高雄,西瓜,12.0,3063
2023,12,2023-12-01,台北一,柳橙,18.7,15589
2023,12,2023-12-01,台北二,柳橙,18.6,16062
2023,12,2023-12-01,台中,柳橙,19.0,13434
2023,12,2023-12-01,高雄,柳橙,16.0,9324
2023,12,2023-12-01,台北一,木瓜,29.9,967
2023,12,2023-12-01,台北二,木瓜,32.9,503
2023,12,2023-12-01,台中,木瓜,27.3,617
2023,12,2023-12-01,高雄,木瓜,26.4,3051
2023,12,2023-12-01,台北一,鳳梨,34.5,4789
2023,12,2023-12-01,台北二,鳳梨,32.5,1641
2023,12,2023-12-01,台中,鳳梨,31.5,1223
2023,12,2023-12-01,高雄,鳳梨,28.3,4708
2024,1,2024-01-01,台北一,香蕉,21.6,4915
2024,1,2024-01-01,台北二,香蕉,19.3,2417
2024,1,2024-01-01,台中,香蕉,18.4,2526
2024,1,2024-01-01,高雄,香蕉,18.3,1401
2024,1,2024-01-01,台北一,芒果,59.5,2173
2024,1,2024-01-01,台北二,芒果,73.4,2560
2024,1,2024-01-01,台中,芒果,64.3,2119
2024,1,2024-01-01,高雄,芒果,53.3,2876
2024,1,2024-01-01,台北一,荔枝,136.5,2538
2024,1,2024-01-01,台北二,荔枝,142.6,1618
2024,1,2024-01-01,台中,荔枝,140.1,4527
2024,1,2024-01-01,高雄,荔枝,131.9,4929
2024,1,2024-01-01,台北一,西瓜,18.8,3135
2024,1,2024-01-01,台北二,西瓜,16.6,3060
2024,1,2024-01-01,台中,西瓜,16.7,3465
2024,1,2024-01-01,高雄,西瓜,13.7,4350
2024,1,2024-01-01,台北一,柳橙,18.6,11941
2024,1,2024-01-01,台北二,柳橙,19.7,19340
2024,1,2024-01-01,台中,柳橙,17.4,5077
2024,1,2024-01-01,高雄,柳橙,16.7,9227
2024,1,2024-01-01,台北一,木瓜,28.2,2949
2024,1,2024-01-01,台北二,木瓜,28.5,1818
2024,1,2024-01-01,台中,木瓜,26.6,4262
2024,1,2024-01-01,高雄,木瓜,24.5,2690
2024,1,2024-01-01,台北一,鳳梨,22.9,3554
2024,1,2024-01-01,台北二,鳳梨,22.6,2497
2024,1,2024-01-01,台中,鳳梨,20.2,2651
2024,1,2024-01-01,高雄,鳳梨,20.7,2470
2024,2,2024-02-01,台北一,香蕉,20.0,1702
2024,2,2024-02-01,台北二,香蕉,19.6,2535
2024,2,2024-02-01,台中,香蕉,19.7,1422
2024,2,2024-02-01,高雄,香蕉,18.5,3097
2024,2,2024-02-01,台北一,芒果,78.4,1450
2024,2,2024-02-01,台北二,芒果,65.9,2743
2024,2,2024-02-01,台中,芒果,70.2,2365
2024,2,2024-02-01,高雄,芒果,61.4,3353
2024,2,2024-02-01,台北一,荔枝,119.5,3728
2024,2,2024-02-01,台北二,荔枝,123.8,3728
2024,2,2024-02-01,台中,荔枝,105.1,3391
2024,2,2024-02-01,高雄,荔枝,117.2,594
2024,2,2024-02-01,台北一,西瓜,16.0,1293
2024,2,2024-02-01,台北二,西瓜,14.9,2616
2024,2,2024-02-01,台中,西瓜,15.5,3825
2024,2,2024-02-01,高雄,西瓜,14.7,3097
2024,2,2024-02-01,台北一,柳橙,15.7,5345
2024,2,2024-02-01,台北二,柳橙,16.4,7443
2024,2,2024-02-01,台中,柳橙,15.5,12783
2024,2,2024-02-01,高雄,柳橙,13.7,5984
2024,2,2024-02-01,台北一,木瓜,36.9,3230
2024,2,2024-02-01,台北二,木瓜,37.2,4951
2024,2,2024-02-01,台中,木瓜,35.0,3435
2024,2,2024-02-01,高雄,木瓜,29.0,626
2024,2,2024-02-01,台北一,鳳梨,21.8,3949
2024,2,2024-02-01,台北二,鳳梨,19.6,4646
2024,2,2024-02-01,台中,鳳梨,20.8,3867
2024,2,2024-02-01,高雄,鳳梨,19.7,2292
2024,3,2024-03-01,台北一,香蕉,13.3,6645
2024,3,2024-03-01,台北二,香蕉,11.6,8030
2024,3,2024-03-01,台中,香蕉,12.3,6854
2024,3,2024-03-01,高雄,香蕉,10.4,11514
2024,3,2024-03-01,台北一,芒果,51.4,1832
2024,3,2024-03-01,台北二,芒果,49.6,4007
2024,3,2024-03-01,台中,芒果,52.8,1074
2024,3,2024-03-01,高雄,芒果,44.6,2125
2024,3,2024-03-01,台北一,荔枝,131.0,3781
2024,3,2024-03-01,台北二,荔枝,134.6,4100
2024,3,2024-03-01,台中,荔枝,131.6,1454
2024,3,2024-03-01,高雄,荔枝,117.3,1705
2024,3,2024-03-01,台北一,西瓜,10.8,4072
2024,3,2024-03-01,台北二,西瓜,11.4,4880
2024,3,2024-03-01,台中,西瓜,10.2,3213
2024,3,2024-03-01,高雄,西瓜,8.5,3620
2024,3,2024-03-01,台北一,柳橙,25.2,1188
2024,3,2024-03-01,台北二,柳橙,23.6,841
2024,3,2024-03-01,台中,柳橙,21.0,2224
2024,3,2024-03-01,高雄,柳橙,19.8,4922
2024,3,2024-03-01,台北一,木瓜,37.3,2762
2024,3,2024-03-01,台北二,木瓜,38.5,1451
2024,3,2024-03-01,台中,木瓜,38.6,2579
2024,3,2024-03-01,高雄,木瓜,34.0,3876
2024,3,2024-03-01,台北一,鳳梨,13.3,16687
2024,3,2024-03-01,台北二,鳳梨,13.4,5768
2024,3,2024-03-01,台中,鳳梨,13.0,16249
2024,3,2024-03-01,高雄,鳳梨,11.6,10083
2024,4,2024-04-01,台北一,香蕉,14.3,14138
2024,4,2024-04-01,台北二,香蕉,13.3,11016
2024,4,2024-04-01,台中,香蕉,12.9,17342
2024,4,2024-04-01,高雄,香蕉,13.1,18087
2024,4,2024-04-01,台北一,芒果,55.1,3951
2024,4,2024-04-01,台北二,芒果,52.8,554
2024,4,2024-04-01,台中,芒果,41.8,3962
2024,4,2024-04-01,高雄,芒果,44.8,1332
2024,4,2024-04-01,台北一,荔枝,85.7,2990
2024,4,2024-04-01,台北二,荔枝,91.8,827
2024,4,2024-04-01,台中,荔枝,75.2,3810
2024,4,2024-04-01,高雄,荔枝,82.4,4175
2024,4,2024-04-01,台北一,西瓜,10.2,2643
2024,4,2024-04-01,台北二,西瓜,11.7,1811
2024,4,2024-04-01,台中,西瓜,10.8,3038
2024,4,2024-04-01,高雄,西瓜,10.3,664
2024,4,2024-04-01,台北一,柳橙,23.4,1322
2024,4,2024-04-01,台北二,柳橙,24.3,4925
2024,4,2024-04-01,台中,柳橙,20.9,2698
2024,4,2024-04-01,高雄,柳橙,21.3,4195
2024,4,2024-04-01,台北一,木瓜,35.4,4677
2024,4,2024-04-01,台北二,木瓜,36.1,4094
2024,4,2024-04-01,台中,木瓜,31.4,1909
2024,4,2024-04-01,高雄,木瓜,29.7,3690
2024,4,2024-04-01,台北一,鳳梨,15.0,18221
2024,4,2024-04-01,台北二,鳳梨,15.1,18192
2024,4,2024-04-01,台中,鳳梨,13.5,12083
2024,4,2024-04-01,高雄,鳳梨,12.1,16769
2024,5,2024-05-01,台北一,香蕉,14.8,15953
2024,5,2024-05-01,台北二,香蕉,15.5,7106
2024,5,2024-05-01,台中,香蕉,15.4,9223
2024,5,2024-05-01,高雄,香蕉,12.9,17145
2024,5,2024-05-01,台北一,芒果,44.3,3099
2024,5,2024-05-01,台北二,芒果,48.9,1804
2024,5,2024-05-01,台中,芒果,40.9,1801
2024,5,2024-05-01,高雄,芒果,44.5,2551
2024,5,2024-05-01,台北一,荔枝,97.3,3157
2024,5,2024-05-01,台北二,荔枝,78.0,574
2024,5,2024-05-01,台中,荔枝,88.2,2675
2024,5,2024-05-01,高雄,荔枝,64.8,540
2024,5,2024-05-01,台北一,西瓜,7.4,12141
2024,5,2024-05-01,台北二,西瓜,7.6,6622
2024,5,2024-05-01,台中,西瓜,6.3,5341
2024,5,2024-05-01,高雄,西瓜,5.9,12992
2024,5,2024-05-01,台北一,柳橙,25.0,1109
2024,5,2024-05-01,台北二,柳橙,24.1,954
2024,5,2024-05-01,台中,柳橙,22.7,3972
2024,5,2024-05-01,高雄,柳橙,20.8,3181
2024,5,2024-05-01,台北一,木瓜,27.9,1886
2024,5,2024-05-01,台北二,木瓜,26.8,3863
2024,5,2024-05-01,台中,木瓜,27.3,4624
2024,5,2024-05-01,高雄,木瓜,24.2,2558
2024,5,2024-05-01,台北一,鳳梨,15.7,16046
2024,5,2024-05-01,台北二,鳳梨,15.2,6333
2024,5,2024-05-01,台中,鳳梨,14.0,11766
2024,5,2024-05-01,高雄,鳳梨,14.1,17693
2024,6,2024-06-01,台北一,香蕉,28.3,1250
2024,6,2024-06-01,台北二,香蕉,28.0,2262
2024,6,2024-06-01,台中,香蕉,28.8,4420
2024,6,2024-06-01,高雄,香蕉,25.5,4960
2024,6,2024-06-01,台北一,芒果,32.7,12617
2024,6,2024-06-01,台北二,芒果,27.7,7343
2024,6,2024-06-01,台中,芒果,31.1,6240
2024,6,2024-06-01,高雄,芒果,28.8,6639
2024,6,2024-06-01,台北一,荔枝,57.1,17418
2024,6,2024-06-01,台北二,荔枝,52.7,9203
2024,6,2024-06-01,台中,荔枝,61.5,8549
2024,6,2024-06-01,高雄,荔枝,45.1,11667
2024,6,2024-06-01,台北一,西瓜,7.0,9090
2024,6,2024-06-01,台北二,西瓜,8.1,10136
2024,6,2024-06-01,台中,西瓜,7.6,17086
2024,6,2024-06-01,高雄,西瓜,6.6,9107
2024,6,2024-06-01,台北一,柳橙,35.8,4562
2024,6,2024-06-01,台北二,柳橙,34.9,2250
2024,6,2024-06-01,台中,柳橙,32.6,1209
2024,6,2024-06-01,高雄,柳橙,31.3,4226
2024,6,2024-06-01,台北一,木瓜,28.2,546
2024,6,2024-06-01,台北二,木瓜,27.6,900
2024,6,2024-06-01,台中,木瓜,26.6,3657
2024,6,2024-06-01,高雄,木瓜,27.3,4353
2024,6,2024-06-01,台北一,鳳梨,14.4,16122
2024,6,2024-06-01,台北二,鳳梨,14.6,6521
2024,6,2024-06-01,台中,鳳梨,12.7,6500
